StationId,Datetime,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3
DL001,2020-06-24 01:00:00,60.0,43.5,80.0,3.23,4.03,4.78,22.38,0.55,10.8,9.68
DL001,2020-06-24 02:00:00,56.0,39.25,62.75,3.48,1.02,3.35,20.32,0.53,10.25,13.95
DL001,2020-06-24 03:00:00,54.0,31.5,45.75,3.6,1.5,3.75,19.8,0.55,12.75,10.3
DL001,2020-06-24 04:00:00,53.0,33.25,41.5,3.52,2.33,4.07,54.58,0.57,10.15,8.07
DL001,2020-06-24 05:00:00,54.0,33.25,41.5,3.58,1.82,3.88,42.35,0.57,9.65,9.62
DL001,2020-06-24 06:00:00,55.0,38.5,52.0,3.42,2.2,3.95,35.88,0.42,10.5,5.7
DL001,2020-06-24 07:00:00,57.0,58.75,72.25,3.88,2.35,4.45,32.95,0.15,10.1,5.65
DL001,2020-06-24 08:00:00,57.0,53.0,79.25,3.85,1.48,3.9,31.83,0.12,10.42,7.55
DL001,2020-06-24 09:00:00,58.0,53.5,77.0,3.87,30.05,18.98,30.35,0.25,9.8,10.2
DL001,2020-06-24 10:00:00,59.0,47.5,69.75,3.83,7.15,6.97,31.38,0.15,10.97,12.53
DL001,2020-06-24 11:00:00,61.0,51.0,73.0,3.3,8.8,7.35,33.12,0.1,11.22,16.12
DL001,2020-06-24 12:00:00,62.0,46.0,73.0,3.3,5.7,5.75,29.65,,9.82,12.93
DL001,2020-06-24 13:00:00,62.0,40.0,91.0,3.33,3.6,4.62,26.03,,9.6,12.15
DL001,2020-06-24 14:00:00,61.0,20.0,31.0,3.35,3.53,4.65,25.22,,9.4,14.02
DL001,2020-06-24 15:00:00,62.0,21.25,31.0,3.08,4.2,4.73,35.73,,8.8,15.3
DL001,2020-06-24 16:00:00,63.0,26.0,31.5,3.42,5.15,5.5,36.78,,8.95,18.3
DL001,2020-06-24 17:00:00,63.0,29.25,33.25,3.2,2.35,3.88,33.75,0.53,9.47,17.85
DL001,2020-06-24 18:00:00,64.0,30.0,34.0,3.5,26.62,16.82,31.85,0.25,10.6,17.88
DL001,2020-06-24 19:00:00,65.0,28.0,42.0,3.47,9.65,7.98,37.05,0.15,10.4,16.85
DL001,2020-06-24 20:00:00,65.0,29.5,50.0,3.28,11.88,8.93,37.27,0.15,11.07,13.47
DL001,2020-06-24 21:00:00,65.0,36.75,75.0,3.07,10.78,8.25,35.28,0.23,11.22,11.25
DL001,2020-06-24 22:00:00,65.0,45.75,75.75,3.55,7.85,7.07,34.1,0.15,11.75,8.95
DL001,2020-06-24 23:00:00,65.0,49.25,77.5,3.65,6.93,6.7,35.58,0.25,11.82,7.8
DL001,2020-06-25 00:00:00,65.0,53.5,109.5,3.3,6.5,6.15,34.17,0.5,11.2,5.57
DL001,2020-06-25 01:00:00,66.0,59.25,125.25,3.67,9.85,8.25,31.2,0.6,11.05,4.0
DL001,2020-06-25 02:00:00,69.0,75.5,131.25,3.83,6.3,6.43,42.67,1.08,11.25,2.2
DL001,2020-06-25 03:00:00,73.0,87.0,170.5,4.1,5.0,6.0,40.65,0.5,14.05,3.22
